Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17431-6840,RB,Frank,,Gore,12.4466664632161,15,6200,JAC@IND,IND,JAC,,
17431-6863,TE,Delanie,,Walker,10.6857147216797,14,6200,HOU@TEN,TEN,HOU,,
17431-6899,RB,Matt,,Forte,12.0428575788225,14,6200,BUF@NYJ,NYJ,BUF,Q,Shoulder
17431-24641,WR,Sammy,,Watkins,9.12857164655413,7,6100,BUF@NYJ,BUF,NYJ,,
17431-9392,WR,Michael,,Crabtree,12.5066670735677,15,6100,OAK@DEN,OAK,DEN,,
17431-6535,WR,Kenny,,Britt,10.8133331298828,15,6100,ARI@LA,LA,ARI,Q,Shoulder
17431-54684,RB,Isaiah,,Crowell,11.2533335367839,15,6100,CLE@PIT,CLE,PIT,,
17431-54782,TE,Cameron,,Brate,9.5,15,6100,CAR@TB,TB,CAR,Q,Back
17431-7778,QB,Matt,,Cassel,2.82000001271566,3,6100,HOU@TEN,TEN,HOU,,
17431-14211,RB,Mark,,Ingram,13.1333333333333,15,6100,NO@ATL,NO,ATL,,
17431-28643,WR,Allen,,Robinson,10.140000406901,15,6100,JAC@IND,JAC,IND,,
17431-28677,QB,Matt,,McGloin,0.430000007152557,2,6000,OAK@DEN,OAK,DEN,,
17431-29715,QB,Kevin,,Hogan,6.21999994913737,3,6000,CLE@PIT,CLE,PIT,,
17431-31798,QB,Bryce,,Petty,6.54333305358887,6,6000,BUF@NYJ,NYJ,BUF,Q,Shoulder - labrum
